ID,Term,Uzbek Meaning,Difficulty,Category,Context
651,service cost,xizmat xarajat,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
652,service plan,xizmat reja,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
653,service model,xizmat model,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
654,service decision,xizmat qaror,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
655,service opportunity,xizmat imkoniyat,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
656,service feedback,xizmat fikr,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
657,product growth,mahsulot o‘sish,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
658,product strategy,mahsulot strategiya,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
659,product demand,mahsulot talab,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
660,product revenue,mahsulot daromad,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
661,product cost,mahsulot xarajat,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
662,product plan,mahsulot reja,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
663,product model,mahsulot model,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
664,product decision,mahsulot qaror,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
665,product opportunity,mahsulot imkoniyat,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
666,product feedback,mahsulot fikr,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
667,company growth,kompaniya o‘sish,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
668,company strategy,kompaniya strategiya,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
669,company demand,kompaniya talab,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
670,company revenue,kompaniya daromad,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
671,company cost,kompaniya xarajat,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
672,company plan,kompaniya reja,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
673,company model,kompaniya model,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
674,company decision,kompaniya qaror,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
675,company opportunity,kompaniya imkoniyat,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
676,company feedback,kompaniya fikr,Medium,Business,The lesson uses the vocabulary item ___ in a business context.
677,local event,mahalliy tadbir,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
678,local group,mahalliy guruh,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
679,local identity,mahalliy o‘zlik,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
680,local issue,mahalliy masala,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
681,local change,mahalliy o‘zgarish,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
682,local support,mahalliy qo‘llab-quvvatlash,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
683,local responsibility,mahalliy mas’uliyat,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
684,local value,mahalliy qadriyat,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
685,local project,mahalliy loyiha,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
686,public service,jamoat xizmat,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
687,public event,jamoat tadbir,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
688,public group,jamoat guruh,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
689,public identity,jamoat o‘zlik,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
690,public issue,jamoat masala,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
691,public change,jamoat o‘zgarish,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
692,public support,jamoat qo‘llab-quvvatlash,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
693,public responsibility,jamoat mas’uliyat,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
694,public value,jamoat qadriyat,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
695,public project,jamoat loyiha,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
696,social service,ijtimoiy xizmat,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
697,social event,ijtimoiy tadbir,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
698,social group,ijtimoiy guruh,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
699,social identity,ijtimoiy o‘zlik,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
700,social issue,ijtimoiy masala,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
701,social change,ijtimoiy o‘zgarish,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
702,social support,ijtimoiy qo‘llab-quvvatlash,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
703,social responsibility,ijtimoiy mas’uliyat,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
704,social value,ijtimoiy qadriyat,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
705,social project,ijtimoiy loyiha,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
706,cultural service,madaniy xizmat,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
707,cultural event,madaniy tadbir,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
708,cultural group,madaniy guruh,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
709,cultural identity,madaniy o‘zlik,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
710,cultural issue,madaniy masala,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
711,cultural change,madaniy o‘zgarish,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
712,cultural support,madaniy qo‘llab-quvvatlash,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
713,cultural responsibility,madaniy mas’uliyat,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
714,cultural value,madaniy qadriyat,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
715,cultural project,madaniy loyiha,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
716,community service,hamjamiyat xizmat,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
717,community event,hamjamiyat tadbir,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
718,community group,hamjamiyat guruh,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
719,community identity,hamjamiyat o‘zlik,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
720,community issue,hamjamiyat masala,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
721,community change,hamjamiyat o‘zgarish,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
722,community support,hamjamiyat qo‘llab-quvvatlash,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
723,community responsibility,hamjamiyat mas’uliyat,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
724,community value,hamjamiyat qadriyat,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
725,community project,hamjamiyat loyiha,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
726,national service,milliy xizmat,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
727,national event,milliy tadbir,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
728,national group,milliy guruh,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
729,national identity,milliy o‘zlik,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
730,national issue,milliy masala,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
731,national change,milliy o‘zgarish,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
732,national support,milliy qo‘llab-quvvatlash,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
733,national responsibility,milliy mas’uliyat,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
734,national value,milliy qadriyat,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
735,national project,milliy loyiha,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
736,international service,xalqaro xizmat,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
737,international event,xalqaro tadbir,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
738,international group,xalqaro guruh,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
739,international identity,xalqaro o‘zlik,Medium,Society,The lesson uses the vocabulary item ___ in a society context.
740,significant evidence,sezilarli dalil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
741,significant analysis,sezilarli tahlil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
742,significant approach,sezilarli yondashuv,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
743,significant outcome,sezilarli natija,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
744,significant factor,sezilarli omil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
745,significant impact,sezilarli ta’sir,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
746,significant method,sezilarli usul,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
747,significant assumption,sezilarli taxmin,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
748,significant interpretation,sezilarli talqin,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
749,significant evaluation,sezilarli baholash,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
750,reliable evidence,ishonchli dalil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
751,reliable analysis,ishonchli tahlil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
752,reliable approach,ishonchli yondashuv,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
753,reliable outcome,ishonchli natija,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
754,reliable factor,ishonchli omil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
755,reliable impact,ishonchli ta’sir,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
756,reliable method,ishonchli usul,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
757,reliable assumption,ishonchli taxmin,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
758,reliable interpretation,ishonchli talqin,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
759,reliable evaluation,ishonchli baholash,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
760,academic evidence,akademik dalil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
761,academic analysis,akademik tahlil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
762,academic approach,akademik yondashuv,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
763,academic outcome,akademik natija,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
764,academic factor,akademik omil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
765,academic impact,akademik ta’sir,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
766,academic assumption,akademik taxmin,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
767,academic interpretation,akademik talqin,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
768,academic evaluation,akademik baholash,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
769,critical evidence,tanqidiy dalil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
770,critical analysis,tanqidiy tahlil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
771,critical approach,tanqidiy yondashuv,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
772,critical outcome,tanqidiy natija,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
773,critical factor,tanqidiy omil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
774,critical impact,tanqidiy ta’sir,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
775,critical method,tanqidiy usul,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
776,critical assumption,tanqidiy taxmin,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
777,critical interpretation,tanqidiy talqin,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
778,critical evaluation,tanqidiy baholash,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
779,analytical evidence,tahliliy dalil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
780,analytical analysis,tahliliy tahlil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
781,analytical approach,tahliliy yondashuv,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
782,analytical outcome,tahliliy natija,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
783,analytical factor,tahliliy omil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
784,analytical impact,tahliliy ta’sir,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
785,analytical method,tahliliy usul,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
786,analytical assumption,tahliliy taxmin,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
787,analytical interpretation,tahliliy talqin,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
788,analytical evaluation,tahliliy baholash,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
789,systematic evidence,tizimli dalil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
790,systematic analysis,tizimli tahlil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
791,systematic approach,tizimli yondashuv,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
792,systematic outcome,tizimli natija,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
793,systematic factor,tizimli omil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
794,systematic impact,tizimli ta’sir,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
795,systematic method,tizimli usul,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
796,systematic assumption,tizimli taxmin,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
797,systematic interpretation,tizimli talqin,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
798,systematic evaluation,tizimli baholash,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
799,effective evidence,samarali dalil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
800,effective analysis,samarali tahlil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
801,effective approach,samarali yondashuv,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
802,effective outcome,samarali natija,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
803,effective factor,samarali omil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
804,effective impact,samarali ta’sir,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
805,effective method,samarali usul,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
806,effective assumption,samarali taxmin,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
807,effective interpretation,samarali talqin,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
808,effective evaluation,samarali baholash,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
809,strategic evidence,strategik dalil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
810,strategic analysis,strategik tahlil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
811,strategic approach,strategik yondashuv,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
812,strategic outcome,strategik natija,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
813,strategic factor,strategik omil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
814,strategic impact,strategik ta’sir,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
815,strategic method,strategik usul,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
816,strategic assumption,strategik taxmin,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
817,strategic interpretation,strategik talqin,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
818,strategic evaluation,strategik baholash,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
819,measurable evidence,o‘lchanadigan dalil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
820,measurable analysis,o‘lchanadigan tahlil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
821,measurable approach,o‘lchanadigan yondashuv,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
822,measurable outcome,o‘lchanadigan natija,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
823,measurable factor,o‘lchanadigan omil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
824,measurable impact,o‘lchanadigan ta’sir,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
825,measurable method,o‘lchanadigan usul,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
826,measurable assumption,o‘lchanadigan taxmin,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
827,measurable interpretation,o‘lchanadigan talqin,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
828,measurable evaluation,o‘lchanadigan baholash,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
829,long-term evidence,uzoq muddatli dalil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
830,long-term analysis,uzoq muddatli tahlil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
831,long-term approach,uzoq muddatli yondashuv,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
832,long-term outcome,uzoq muddatli natija,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
833,long-term factor,uzoq muddatli omil,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
834,long-term impact,uzoq muddatli ta’sir,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
835,long-term method,uzoq muddatli usul,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
836,long-term assumption,uzoq muddatli taxmin,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
837,long-term interpretation,uzoq muddatli talqin,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
838,long-term evaluation,uzoq muddatli baholash,High,Academic,The lesson uses the vocabulary item ___ in a academic context.
839,renewable policy,qayta tiklanuvchi siyosat,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
840,renewable management,qayta tiklanuvchi boshqaruv,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
841,renewable consumption,qayta tiklanuvchi iste’mol,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
842,renewable efficiency,qayta tiklanuvchi samaradorlik,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
843,renewable infrastructure,qayta tiklanuvchi infratuzilma,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
844,renewable impact,qayta tiklanuvchi ta’sir,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
845,renewable strategy,qayta tiklanuvchi strategiya,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
846,renewable technology,qayta tiklanuvchi texnologiya,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
847,renewable planning,qayta tiklanuvchi rejalashtirish,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
848,renewable risk,qayta tiklanuvchi xavf,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
849,environmental policy,ekologik siyosat,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
850,environmental management,ekologik boshqaruv,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
851,environmental consumption,ekologik iste’mol,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
852,environmental efficiency,ekologik samaradorlik,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
853,environmental infrastructure,ekologik infratuzilma,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
854,environmental impact,ekologik ta’sir,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
855,environmental strategy,ekologik strategiya,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
856,environmental technology,ekologik texnologiya,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
857,environmental planning,ekologik rejalashtirish,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
858,environmental risk,ekologik xavf,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
859,sustainable policy,barqaror siyosat,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
860,sustainable management,barqaror boshqaruv,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
861,sustainable consumption,barqaror iste’mol,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
862,sustainable efficiency,barqaror samaradorlik,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
863,sustainable infrastructure,barqaror infratuzilma,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
864,sustainable impact,barqaror ta’sir,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
865,sustainable strategy,barqaror strategiya,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
866,sustainable technology,barqaror texnologiya,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
867,sustainable planning,barqaror rejalashtirish,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
868,sustainable risk,barqaror xavf,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
869,urban policy,shahar siyosat,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
870,urban management,shahar boshqaruv,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
871,urban consumption,shahar iste’mol,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
872,urban efficiency,shahar samaradorlik,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
873,urban infrastructure,shahar infratuzilma,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
874,urban impact,shahar ta’sir,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
875,urban strategy,shahar strategiya,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
876,urban technology,shahar texnologiya,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
877,urban planning,shahar rejalashtirish,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
878,urban risk,shahar xavf,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
879,public policy,jamoat siyosat,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
880,public management,jamoat boshqaruv,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
881,public consumption,jamoat iste’mol,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
882,public efficiency,jamoat samaradorlik,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
883,public infrastructure,jamoat infratuzilma,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
884,public impact,jamoat ta’sir,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
885,public strategy,jamoat strategiya,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
886,public technology,jamoat texnologiya,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
887,public planning,jamoat rejalashtirish,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
888,public risk,jamoat xavf,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
889,energy policy,energiya siyosat,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
890,energy management,energiya boshqaruv,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
891,energy consumption,energiya iste’mol,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
892,energy efficiency,energiya samaradorlik,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
893,energy infrastructure,energiya infratuzilma,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
894,energy impact,energiya ta’sir,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
895,energy strategy,energiya strategiya,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
896,energy technology,energiya texnologiya,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
897,energy planning,energiya rejalashtirish,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
898,energy risk,energiya xavf,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
899,water policy,suv siyosat,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
900,water management,suv boshqaruv,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
901,water consumption,suv iste’mol,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
902,water efficiency,suv samaradorlik,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
903,water infrastructure,suv infratuzilma,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
904,water impact,suv ta’sir,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
905,water strategy,suv strategiya,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
906,water technology,suv texnologiya,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
907,water planning,suv rejalashtirish,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
908,water risk,suv xavf,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
909,waste policy,chiqindi siyosat,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
910,waste management,chiqindi boshqaruv,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
911,waste consumption,chiqindi iste’mol,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
912,waste efficiency,chiqindi samaradorlik,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
913,waste infrastructure,chiqindi infratuzilma,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
914,waste impact,chiqindi ta’sir,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
915,waste strategy,chiqindi strategiya,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
916,waste technology,chiqindi texnologiya,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
917,waste planning,chiqindi rejalashtirish,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
918,waste risk,chiqindi xavf,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
919,resource policy,resurs siyosat,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
920,resource management,resurs boshqaruv,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
921,resource consumption,resurs iste’mol,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
922,resource efficiency,resurs samaradorlik,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
923,resource infrastructure,resurs infratuzilma,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
924,resource impact,resurs ta’sir,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
925,resource strategy,resurs strategiya,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
926,resource technology,resurs texnologiya,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
927,resource planning,resurs rejalashtirish,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
928,resource risk,resurs xavf,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
929,climate policy,iqlim siyosat,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
930,climate management,iqlim boshqaruv,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
931,climate consumption,iqlim iste’mol,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
932,climate efficiency,iqlim samaradorlik,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
933,climate infrastructure,iqlim infratuzilma,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
934,climate impact,iqlim ta’sir,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
935,climate strategy,iqlim strategiya,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
936,climate technology,iqlim texnologiya,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
937,climate planning,iqlim rejalashtirish,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
938,climate risk,iqlim xavf,High,Environment,The lesson uses the vocabulary item ___ in a environment context.
939,artificial intelligence,sun’iy intellekt,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
940,artificial recommendation,sun’iy tavsiya,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
941,artificial bias,sun’iy tarafkashlik,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
942,artificial privacy,sun’iy maxfiylik,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
943,artificial verification,sun’iy tekshiruv,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
944,artificial content,sun’iy kontent,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
945,artificial source,sun’iy manba,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
946,artificial platform,sun’iy platforma,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
947,artificial decision,sun’iy qaror,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
948,artificial model,sun’iy model,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
