ID,Term,Uzbek Meaning,Difficulty,Category,Type,Question,Option A,Option B,Option C,Option D,Correct,Explanation
1669,cloud access,bulutli kirish,Medium,Technology,EN→UZ,Choose the best Uzbek meaning of 'cloud access'.,xalqaro xizmat,farqli,tizim,bulutli kirish,D,'cloud access' means 'bulutli kirish' in Uzbek. Remember it together with its context.
1670,cloud access,bulutli kirish,Medium,Technology,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'bulutli kirish'.,different,system,cloud access,international service,C,The English word or phrase for 'bulutli kirish' is 'cloud access'.
1671,cloud access,bulutli kirish,Medium,Technology,Context,The lesson uses the vocabulary item _____ in a technology context.,system,cloud access,international service,different,B,The best answer in this context is 'cloud access' (bulutli kirish).
1672,virtual system,virtual tizim,Medium,Technology,EN→UZ,Choose the best Uzbek meaning of 'virtual system'.,virtual tizim,mahalliy o‘sish,global imkoniyat,mahsulot reja,A,'virtual system' means 'virtual tizim' in Uzbek. Remember it together with its context.
1673,virtual system,virtual tizim,Medium,Technology,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'virtual tizim'.,local growth,global opportunity,product plan,virtual system,D,The English word or phrase for 'virtual tizim' is 'virtual system'.
1674,virtual system,virtual tizim,Medium,Technology,Context,The lesson uses the vocabulary item _____ in a technology context.,global opportunity,product plan,virtual system,local growth,C,The best answer in this context is 'virtual system' (virtual tizim).
1675,virtual tool,virtual vosita,Medium,Technology,EN→UZ,Choose the best Uzbek meaning of 'virtual tool'.,guruh ko‘nikma,virtual vosita,onlayn usul,muntazam strategiya,B,'virtual tool' means 'virtual vosita' in Uzbek. Remember it together with its context.
1676,virtual tool,virtual vosita,Medium,Technology,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'virtual vosita'.,virtual tool,online method,regular strategy,group skill,A,The English word or phrase for 'virtual vosita' is 'virtual tool'.
1677,virtual tool,virtual vosita,Medium,Technology,Context,The lesson uses the vocabulary item _____ in a technology context.,online method,regular strategy,group skill,virtual tool,D,The best answer in this context is 'virtual tool' (virtual vosita).
1678,virtual device,virtual qurilma,Medium,Technology,EN→UZ,Choose the best Uzbek meaning of 'virtual device'.,bozor xarajat,biznes strategiya,virtual qurilma,ma’lumot jarayon,C,'virtual device' means 'virtual qurilma' in Uzbek. Remember it together with its context.
1679,virtual device,virtual qurilma,Medium,Technology,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'virtual qurilma'.,business strategy,virtual device,data process,market cost,B,The English word or phrase for 'virtual qurilma' is 'virtual device'.
1680,virtual device,virtual qurilma,Medium,Technology,Context,The lesson uses the vocabulary item _____ in a technology context.,virtual device,data process,market cost,business strategy,A,The best answer in this context is 'virtual device' (virtual qurilma).
1681,virtual platform,virtual platforma,Medium,Technology,EN→UZ,Choose the best Uzbek meaning of 'virtual platform'.,mustaqil ko‘nikma,guruh natija,o‘qish usul,virtual platforma,D,'virtual platform' means 'virtual platforma' in Uzbek. Remember it together with its context.
1682,virtual platform,virtual platforma,Medium,Technology,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'virtual platforma'.,group result,reading method,virtual platform,independent skill,C,The English word or phrase for 'virtual platforma' is 'virtual platform'.
1683,virtual platform,virtual platforma,Medium,Technology,Context,The lesson uses the vocabulary item _____ in a technology context.,reading method,virtual platform,independent skill,group result,B,The best answer in this context is 'virtual platform' (virtual platforma).
1684,virtual service,virtual xizmat,Medium,Technology,EN→UZ,Choose the best Uzbek meaning of 'virtual service'.,virtual xizmat,ijtimoiy qadriyat,hamjamiyat o‘zgarish,xalqaro guruh,A,'virtual service' means 'virtual xizmat' in Uzbek. Remember it together with its context.
1685,virtual service,virtual xizmat,Medium,Technology,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'virtual xizmat'.,social value,community change,international group,virtual service,D,The English word or phrase for 'virtual xizmat' is 'virtual service'.
1686,virtual service,virtual xizmat,Medium,Technology,Context,The lesson uses the vocabulary item _____ in a technology context.,community change,international group,virtual service,social value,C,The best answer in this context is 'virtual service' (virtual xizmat).
1687,virtual network,virtual tarmoq,Medium,Technology,EN→UZ,Choose the best Uzbek meaning of 'virtual network'.,foyda,virtual tarmoq,milliy o‘zlik,ball,B,'virtual network' means 'virtual tarmoq' in Uzbek. Remember it together with its context.
1688,virtual network,virtual tarmoq,Medium,Technology,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'virtual tarmoq'.,virtual network,national identity,score,benefit,A,The English word or phrase for 'virtual tarmoq' is 'virtual network'.
1689,virtual network,virtual tarmoq,Medium,Technology,Context,The lesson uses the vocabulary item _____ in a technology context.,national identity,score,benefit,virtual network,D,The best answer in this context is 'virtual network' (virtual tarmoq).
1690,virtual application,virtual ilova,Medium,Technology,EN→UZ,Choose the best Uzbek meaning of 'virtual application'.,mashq qilmoq,ta’sir,virtual ilova,hamjamiyat qadriyat,C,'virtual application' means 'virtual ilova' in Uzbek. Remember it together with its context.
1691,virtual application,virtual ilova,Medium,Technology,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'virtual ilova'.,effect,virtual application,community value,practice,B,The English word or phrase for 'virtual ilova' is 'virtual application'.
1692,virtual application,virtual ilova,Medium,Technology,Context,The lesson uses the vocabulary item _____ in a technology context.,virtual application,community value,practice,effect,A,The best answer in this context is 'virtual application' (virtual ilova).
1693,virtual process,virtual jarayon,Medium,Technology,EN→UZ,Choose the best Uzbek meaning of 'virtual process'.,hamjamiyat guruh,milliy loyiha,o‘xshash,virtual jarayon,D,'virtual process' means 'virtual jarayon' in Uzbek. Remember it together with its context.
1694,virtual process,virtual jarayon,Medium,Technology,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'virtual jarayon'.,national project,similar,virtual process,community group,C,The English word or phrase for 'virtual jarayon' is 'virtual process'.
1695,virtual process,virtual jarayon,Medium,Technology,Context,The lesson uses the vocabulary item _____ in a technology context.,similar,virtual process,community group,national project,B,The best answer in this context is 'virtual process' (virtual jarayon).
1696,virtual solution,virtual yechim,Medium,Technology,EN→UZ,Choose the best Uzbek meaning of 'virtual solution'.,virtual yechim,til rivojlanish,lug‘at strategiya,raqamli tizim,A,'virtual solution' means 'virtual yechim' in Uzbek. Remember it together with its context.
1697,virtual solution,virtual yechim,Medium,Technology,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'virtual yechim'.,language progress,vocabulary strategy,digital system,virtual solution,D,The English word or phrase for 'virtual yechim' is 'virtual solution'.
1698,virtual solution,virtual yechim,Medium,Technology,Context,The lesson uses the vocabulary item _____ in a technology context.,vocabulary strategy,digital system,virtual solution,language progress,C,The best answer in this context is 'virtual solution' (virtual yechim).
1699,virtual access,virtual kirish,Medium,Technology,EN→UZ,Choose the best Uzbek meaning of 'virtual access'.,biznes daromad,virtual kirish,ma’lumot kirish,bozor model,B,'virtual access' means 'virtual kirish' in Uzbek. Remember it together with its context.
1700,virtual access,virtual kirish,Medium,Technology,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'virtual kirish'.,virtual access,data access,market model,business revenue,A,The English word or phrase for 'virtual kirish' is 'virtual access'.
1701,virtual access,virtual kirish,Medium,Technology,Context,The lesson uses the vocabulary item _____ in a technology context.,data access,market model,business revenue,virtual access,D,The best answer in this context is 'virtual access' (virtual kirish).
1702,data system,ma’lumot tizim,Medium,Technology,EN→UZ,Choose the best Uzbek meaning of 'data system'.,mahalliy o‘zlik,ijtimoiy xizmat,ma’lumot tizim,mahsulot reja,C,'data system' means 'ma’lumot tizim' in Uzbek. Remember it together with its context.
1703,data system,ma’lumot tizim,Medium,Technology,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ma’lumot tizim'.,social service,data system,product plan,local identity,B,The English word or phrase for 'ma’lumot tizim' is 'data system'.
1704,data system,ma’lumot tizim,Medium,Technology,Context,The lesson uses the vocabulary item _____ in a technology context.,data system,product plan,local identity,social service,A,The best answer in this context is 'data system' (ma’lumot tizim).
1705,data tool,ma’lumot vosita,Medium,Technology,EN→UZ,Choose the best Uzbek meaning of 'data tool'.,guruh ko‘nikma,til natija,lug‘at usul,ma’lumot vosita,D,'data tool' means 'ma’lumot vosita' in Uzbek. Remember it together with its context.
1706,data tool,ma’lumot vosita,Medium,Technology,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ma’lumot vosita'.,language result,vocabulary method,data tool,group skill,C,The English word or phrase for 'ma’lumot vosita' is 'data tool'.
1707,data tool,ma’lumot vosita,Medium,Technology,Context,The lesson uses the vocabulary item _____ in a technology context.,vocabulary method,data tool,group skill,language result,B,The best answer in this context is 'data tool' (ma’lumot vosita).
1708,data device,ma’lumot qurilma,Medium,Technology,EN→UZ,Choose the best Uzbek meaning of 'data device'.,ma’lumot qurilma,biznes strategiya,moliyaviy imkoniyat,global model,A,'data device' means 'ma’lumot qurilma' in Uzbek. Remember it together with its context.
1709,data device,ma’lumot qurilma,Medium,Technology,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ma’lumot qurilma'.,business strategy,financial opportunity,global model,data device,D,The English word or phrase for 'ma’lumot qurilma' is 'data device'.
1710,data device,ma’lumot qurilma,Medium,Technology,Context,The lesson uses the vocabulary item _____ in a technology context.,financial opportunity,global model,data device,business strategy,C,The best answer in this context is 'data device' (ma’lumot qurilma).
1711,data platform,ma’lumot platforma,Medium,Technology,EN→UZ,Choose the best Uzbek meaning of 'data platform'.,aqlli tizim,ma’lumot platforma,o‘qish usul,o‘rganish strategiya,B,'data platform' means 'ma’lumot platforma' in Uzbek. Remember it together with its context.
1712,data platform,ma’lumot platforma,Medium,Technology,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ma’lumot platforma'.,data platform,reading method,learning strategy,smart system,A,The English word or phrase for 'ma’lumot platforma' is 'data platform'.
1713,data platform,ma’lumot platforma,Medium,Technology,Context,The lesson uses the vocabulary item _____ in a technology context.,reading method,learning strategy,smart system,data platform,D,The best answer in this context is 'data platform' (ma’lumot platforma).
1714,data service,ma’lumot xizmat,Medium,Technology,EN→UZ,Choose the best Uzbek meaning of 'data service'.,kamaymoq,manba,ma’lumot xizmat,xalqaro guruh,C,'data service' means 'ma’lumot xizmat' in Uzbek. Remember it together with its context.
1715,data service,ma’lumot xizmat,Medium,Technology,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ma’lumot xizmat'.,source,data service,international group,decrease,B,The English word or phrase for 'ma’lumot xizmat' is 'data service'.
1716,data service,ma’lumot xizmat,Medium,Technology,Context,The lesson uses the vocabulary item _____ in a technology context.,data service,international group,decrease,source,A,The best answer in this context is 'data service' (ma’lumot xizmat).
1717,data network,ma’lumot tarmoq,Medium,Technology,EN→UZ,Choose the best Uzbek meaning of 'data network'.,foyda,akademik ko‘nikma,onlayn natija,ma’lumot tarmoq,D,'data network' means 'ma’lumot tarmoq' in Uzbek. Remember it together with its context.
1718,data network,ma’lumot tarmoq,Medium,Technology,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ma’lumot tarmoq'.,academic skill,online result,data network,benefit,C,The English word or phrase for 'ma’lumot tarmoq' is 'data network'.
1719,data network,ma’lumot tarmoq,Medium,Technology,Context,The lesson uses the vocabulary item _____ in a technology context.,online result,data network,benefit,academic skill,B,The best answer in this context is 'data network' (ma’lumot tarmoq).
1720,data application,ma’lumot ilova,Medium,Technology,EN→UZ,Choose the best Uzbek meaning of 'data application'.,ma’lumot ilova,ta’sir,madaniyat,onlayn topshiriq,A,'data application' means 'ma’lumot ilova' in Uzbek. Remember it together with its context.
1721,data application,ma’lumot ilova,Medium,Technology,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ma’lumot ilova'.,effect,culture,online task,data application,D,The English word or phrase for 'ma’lumot ilova' is 'data application'.
1722,data application,ma’lumot ilova,Medium,Technology,Context,The lesson uses the vocabulary item _____ in a technology context.,culture,online task,data application,effect,C,The best answer in this context is 'data application' (ma’lumot ilova).
1723,data process,ma’lumot jarayon,Medium,Technology,EN→UZ,Choose the best Uzbek meaning of 'data process'.,akademik usul,ma’lumot jarayon,o‘xshash,qurilma,B,'data process' means 'ma’lumot jarayon' in Uzbek. Remember it together with its context.
1724,data process,ma’lumot jarayon,Medium,Technology,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ma’lumot jarayon'.,data process,similar,device,academic method,A,The English word or phrase for 'ma’lumot jarayon' is 'data process'.
1725,data process,ma’lumot jarayon,Medium,Technology,Context,The lesson uses the vocabulary item _____ in a technology context.,similar,device,academic method,data process,D,The best answer in this context is 'data process' (ma’lumot jarayon).
1726,data solution,ma’lumot yechim,Medium,Technology,EN→UZ,Choose the best Uzbek meaning of 'data solution'.,aqlli jarayon,mobil xizmat,ma’lumot yechim,raqamli tizim,C,'data solution' means 'ma’lumot yechim' in Uzbek. Remember it together with its context.
1727,data solution,ma’lumot yechim,Medium,Technology,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ma’lumot yechim'.,mobile service,data solution,digital system,smart process,B,The English word or phrase for 'ma’lumot yechim' is 'data solution'.
1728,data solution,ma’lumot yechim,Medium,Technology,Context,The lesson uses the vocabulary item _____ in a technology context.,data solution,digital system,smart process,mobile service,A,The best answer in this context is 'data solution' (ma’lumot yechim).
1729,data access,ma’lumot kirish,Medium,Technology,EN→UZ,Choose the best Uzbek meaning of 'data access'.,biznes daromad,mahalliy o‘sish,global imkoniyat,ma’lumot kirish,D,'data access' means 'ma’lumot kirish' in Uzbek. Remember it together with its context.
1730,data access,ma’lumot kirish,Medium,Technology,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ma’lumot kirish'.,local growth,global opportunity,data access,business revenue,C,The English word or phrase for 'ma’lumot kirish' is 'data access'.
1731,data access,ma’lumot kirish,Medium,Technology,Context,The lesson uses the vocabulary item _____ in a technology context.,global opportunity,data access,business revenue,local growth,B,The best answer in this context is 'data access' (ma’lumot kirish).
1732,customer growth,mijoz o‘sish,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'customer growth'.,mijoz o‘sish,hamjamiyat loyiha,takrorlamoq,dalil,A,'customer growth' means 'mijoz o‘sish' in Uzbek. Remember it together with its context.
1733,customer growth,mijoz o‘sish,Medium,Business,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'mijoz o‘sish'.,community project,review,evidence,customer growth,D,The English word or phrase for 'mijoz o‘sish' is 'customer growth'.
1734,customer growth,mijoz o‘sish,Medium,Business,Context,The lesson uses the vocabulary item _____ in a business context.,review,evidence,customer growth,community project,C,The best answer in this context is 'customer growth' (mijoz o‘sish).
1735,customer strategy,mijoz strategiya,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'customer strategy'.,ma’lumot jarayon,mijoz strategiya,texnik platforma,virtual tizim,B,'customer strategy' means 'mijoz strategiya' in Uzbek. Remember it together with its context.
1736,customer strategy,mijoz strategiya,Medium,Business,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'mijoz strategiya'.,customer strategy,technical platform,virtual system,data process,A,The English word or phrase for 'mijoz strategiya' is 'customer strategy'.
1737,customer strategy,mijoz strategiya,Medium,Business,Context,The lesson uses the vocabulary item _____ in a business context.,technical platform,virtual system,data process,customer strategy,D,The best answer in this context is 'customer strategy' (mijoz strategiya).
1738,customer demand,mijoz talab,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'customer demand'.,jamoat qo‘llab-quvvatlash,madaniy o‘zlik,mijoz talab,kompaniya imkoniyat,C,'customer demand' means 'mijoz talab' in Uzbek. Remember it together with its context.
1739,customer demand,mijoz talab,Medium,Business,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'mijoz talab'.,cultural identity,customer demand,company opportunity,public support,B,The English word or phrase for 'mijoz talab' is 'customer demand'.
1740,customer demand,mijoz talab,Medium,Business,Context,The lesson uses the vocabulary item _____ in a business context.,customer demand,company opportunity,public support,cultural identity,A,The best answer in this context is 'customer demand' (mijoz talab).
1741,customer revenue,mijoz daromad,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'customer revenue'.,mustaqil ko‘nikma,guruh natija,o‘qish usul,mijoz daromad,D,'customer revenue' means 'mijoz daromad' in Uzbek. Remember it together with its context.
1742,customer revenue,mijoz daromad,Medium,Business,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'mijoz daromad'.,group result,reading method,customer revenue,independent skill,C,The English word or phrase for 'mijoz daromad' is 'customer revenue'.
1743,customer revenue,mijoz daromad,Medium,Business,Context,The lesson uses the vocabulary item _____ in a business context.,reading method,customer revenue,independent skill,group result,B,The best answer in this context is 'customer revenue' (mijoz daromad).
1744,customer cost,mijoz xarajat,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'customer cost'.,mijoz xarajat,onlayn tizim,mobil jarayon,avtomatlashtirilgan xizmat,A,'customer cost' means 'mijoz xarajat' in Uzbek. Remember it together with its context.
1745,customer cost,mijoz xarajat,Medium,Business,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'mijoz xarajat'.,online system,mobile process,automated service,customer cost,D,The English word or phrase for 'mijoz xarajat' is 'customer cost'.
1746,customer cost,mijoz xarajat,Medium,Business,Context,The lesson uses the vocabulary item _____ in a business context.,mobile process,automated service,customer cost,online system,C,The best answer in this context is 'customer cost' (mijoz xarajat).
1747,customer plan,mijoz reja,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'customer plan'.,xavfsiz tizim,mijoz reja,raqamli ilova,onlayn platforma,B,'customer plan' means 'mijoz reja' in Uzbek. Remember it together with its context.
1748,customer plan,mijoz reja,Medium,Business,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'mijoz reja'.,customer plan,digital application,online platform,secure system,A,The English word or phrase for 'mijoz reja' is 'customer plan'.
1749,customer plan,mijoz reja,Medium,Business,Context,The lesson uses the vocabulary item _____ in a business context.,digital application,online platform,secure system,customer plan,D,The best answer in this context is 'customer plan' (mijoz reja).
1750,customer model,mijoz model,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'customer model'.,savdo model,moliyaviy daromad,mijoz model,mijoz fikr,C,'customer model' means 'mijoz model' in Uzbek. Remember it together with its context.
1751,customer model,mijoz model,Medium,Business,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'mijoz model'.,financial revenue,customer model,customer feedback,sales model,B,The English word or phrase for 'mijoz model' is 'customer model'.
1752,customer model,mijoz model,Medium,Business,Context,The lesson uses the vocabulary item _____ in a business context.,customer model,customer feedback,sales model,financial revenue,A,The best answer in this context is 'customer model' (mijoz model).
1753,customer decision,mijoz qaror,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'customer decision'.,onlayn ilova,xavfsiz platforma,texnik tizim,mijoz qaror,D,'customer decision' means 'mijoz qaror' in Uzbek. Remember it together with its context.
1754,customer decision,mijoz qaror,Medium,Business,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'mijoz qaror'.,secure platform,technical system,customer decision,online application,C,The English word or phrase for 'mijoz qaror' is 'customer decision'.
1755,customer decision,mijoz qaror,Medium,Business,Context,The lesson uses the vocabulary item _____ in a business context.,technical system,customer decision,online application,secure platform,B,The best answer in this context is 'customer decision' (mijoz qaror).
1756,customer opportunity,mijoz imkoniyat,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'customer opportunity'.,mijoz imkoniyat,onlayn ilova,xavfsiz platforma,texnik tizim,A,'customer opportunity' means 'mijoz imkoniyat' in Uzbek. Remember it together with its context.
1757,customer opportunity,mijoz imkoniyat,Medium,Business,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'mijoz imkoniyat'.,online application,secure platform,technical system,customer opportunity,D,The English word or phrase for 'mijoz imkoniyat' is 'customer opportunity'.
1758,customer opportunity,mijoz imkoniyat,Medium,Business,Context,The lesson uses the vocabulary item _____ in a business context.,secure platform,technical system,customer opportunity,online application,C,The best answer in this context is 'customer opportunity' (mijoz imkoniyat).
1759,customer feedback,mijoz fikr,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'customer feedback'.,aqlli kirish,mijoz fikr,lug‘at baholash,raqamli qurilma,B,'customer feedback' means 'mijoz fikr' in Uzbek. Remember it together with its context.
1760,customer feedback,mijoz fikr,Medium,Business,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'mijoz fikr'.,customer feedback,vocabulary assessment,digital device,smart access,A,The English word or phrase for 'mijoz fikr' is 'customer feedback'.
1761,customer feedback,mijoz fikr,Medium,Business,Context,The lesson uses the vocabulary item _____ in a business context.,vocabulary assessment,digital device,smart access,customer feedback,D,The best answer in this context is 'customer feedback' (mijoz fikr).
1762,market growth,bozor o‘sish,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'market growth'.,onlayn tarmoq,xavfsiz qurilma,bozor o‘sish,raqamli yechim,C,'market growth' means 'bozor o‘sish' in Uzbek. Remember it together with its context.
1763,market growth,bozor o‘sish,Medium,Business,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'bozor o‘sish'.,secure device,market growth,digital solution,online network,B,The English word or phrase for 'bozor o‘sish' is 'market growth'.
1764,market growth,bozor o‘sish,Medium,Business,Context,The lesson uses the vocabulary item _____ in a business context.,market growth,digital solution,online network,secure device,A,The best answer in this context is 'market growth' (bozor o‘sish).
1765,market strategy,bozor strategiya,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'market strategy'.,ijtimoiy mas’uliyat,hamjamiyat masala,xalqaro tadbir,bozor strategiya,D,'market strategy' means 'bozor strategiya' in Uzbek. Remember it together with its context.
1766,market strategy,bozor strategiya,Medium,Business,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'bozor strategiya'.,community issue,international event,market strategy,social responsibility,C,The English word or phrase for 'bozor strategiya' is 'market strategy'.
1767,market strategy,bozor strategiya,Medium,Business,Context,The lesson uses the vocabulary item _____ in a business context.,international event,market strategy,social responsibility,community issue,B,The best answer in this context is 'market strategy' (bozor strategiya).
1768,market demand,bozor talab,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'market demand'.,bozor talab,guruh usul,o‘qish baholash,o‘rganish topshiriq,A,'market demand' means 'bozor talab' in Uzbek. Remember it together with its context.
1769,market demand,bozor talab,Medium,Business,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'bozor talab'.,group method,reading assessment,learning task,market demand,D,The English word or phrase for 'bozor talab' is 'market demand'.
1770,market demand,bozor talab,Medium,Business,Context,The lesson uses the vocabulary item _____ in a business context.,reading assessment,learning task,market demand,group method,C,The best answer in this context is 'market demand' (bozor talab).
1771,market revenue,bozor daromad,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'market revenue'.,biznes imkoniyat,bozor daromad,mijoz daromad,savdo strategiya,B,'market revenue' means 'bozor daromad' in Uzbek. Remember it together with its context.
1772,market revenue,bozor daromad,Medium,Business,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'bozor daromad'.,market revenue,customer revenue,sales strategy,business opportunity,A,The English word or phrase for 'bozor daromad' is 'market revenue'.
1773,market revenue,bozor daromad,Medium,Business,Context,The lesson uses the vocabulary item _____ in a business context.,customer revenue,sales strategy,business opportunity,market revenue,D,The best answer in this context is 'market revenue' (bozor daromad).
1774,market cost,bozor xarajat,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'market cost'.,mahalliy tadbir,jamoat qadriyat,bozor xarajat,mahsulot daromad,C,'market cost' means 'bozor xarajat' in Uzbek. Remember it together with its context.
1775,market cost,bozor xarajat,Medium,Business,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'bozor xarajat'.,public value,market cost,product revenue,local event,B,The English word or phrase for 'bozor xarajat' is 'market cost'.
1776,market cost,bozor xarajat,Medium,Business,Context,The lesson uses the vocabulary item _____ in a business context.,market cost,product revenue,local event,public value,A,The best answer in this context is 'market cost' (bozor xarajat).
1777,market plan,bozor reja,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'market plan'.,global fikr,mahsulot model,mahalliy masala,bozor reja,D,'market plan' means 'bozor reja' in Uzbek. Remember it together with its context.
1778,market plan,bozor reja,Medium,Business,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'bozor reja'.,product model,local issue,market plan,global feedback,C,The English word or phrase for 'bozor reja' is 'market plan'.
1779,market plan,bozor reja,Medium,Business,Context,The lesson uses the vocabulary item _____ in a business context.,local issue,market plan,global feedback,product model,B,The best answer in this context is 'market plan' (bozor reja).
1780,market model,bozor model,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'market model'.,bozor model,noto‘g‘ri,yechim,akademik topshiriq,A,'market model' means 'bozor model' in Uzbek. Remember it together with its context.
1781,market model,bozor model,Medium,Business,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'bozor model'.,incorrect,solution,academic task,market model,D,The English word or phrase for 'bozor model' is 'market model'.
1782,market model,bozor model,Medium,Business,Context,The lesson uses the vocabulary item _____ in a business context.,solution,academic task,market model,incorrect,C,The best answer in this context is 'market model' (bozor model).
1783,market decision,bozor qaror,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'market decision'.,ijtimoiy masala,bozor qaror,mahsulot fikr,mahalliy mas’uliyat,B,'market decision' means 'bozor qaror' in Uzbek. Remember it together with its context.
1784,market decision,bozor qaror,Medium,Business,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'bozor qaror'.,market decision,product feedback,local responsibility,social issue,A,The English word or phrase for 'bozor qaror' is 'market decision'.
1785,market decision,bozor qaror,Medium,Business,Context,The lesson uses the vocabulary item _____ in a business context.,product feedback,local responsibility,social issue,market decision,D,The best answer in this context is 'market decision' (bozor qaror).
1786,market opportunity,bozor imkoniyat,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'market opportunity'.,mahalliy mas’uliyat,ijtimoiy masala,bozor imkoniyat,mahsulot fikr,C,'market opportunity' means 'bozor imkoniyat' in Uzbek. Remember it together with its context.
1787,market opportunity,bozor imkoniyat,Medium,Business,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'bozor imkoniyat'.,social issue,market opportunity,product feedback,local responsibility,B,The English word or phrase for 'bozor imkoniyat' is 'market opportunity'.
1788,market opportunity,bozor imkoniyat,Medium,Business,Context,The lesson uses the vocabulary item _____ in a business context.,market opportunity,product feedback,local responsibility,social issue,A,The best answer in this context is 'market opportunity' (bozor imkoniyat).
1789,market feedback,bozor fikr,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'market feedback'.,moliyaviy qaror,global reja,mahsulot talab,bozor fikr,D,'market feedback' means 'bozor fikr' in Uzbek. Remember it together with its context.
1790,market feedback,bozor fikr,Medium,Business,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'bozor fikr'.,global plan,product demand,market feedback,financial decision,C,The English word or phrase for 'bozor fikr' is 'market feedback'.
1791,market feedback,bozor fikr,Medium,Business,Context,The lesson uses the vocabulary item _____ in a business context.,product demand,market feedback,financial decision,global plan,B,The best answer in this context is 'market feedback' (bozor fikr).
1792,sales growth,savdo o‘sish,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'sales growth'.,savdo o‘sish,xizmat,onlayn baholash,muntazam topshiriq,A,'sales growth' means 'savdo o‘sish' in Uzbek. Remember it together with its context.
1793,sales growth,savdo o‘sish,Medium,Business,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'savdo o‘sish'.,service,online assessment,regular task,sales growth,D,The English word or phrase for 'savdo o‘sish' is 'sales growth'.
1794,sales growth,savdo o‘sish,Medium,Business,Context,The lesson uses the vocabulary item _____ in a business context.,online assessment,regular task,sales growth,service,C,The best answer in this context is 'sales growth' (savdo o‘sish).
1795,sales strategy,savdo strategiya,Medium,Business,EN→UZ,Choose the best Uzbek meaning of 'sales strategy'.,mahalliy strategiya,savdo strategiya,bozor model,biznes xarajat,B,'sales strategy' means 'savdo strategiya' in Uzbek. Remember it together with its context.
